time_s,dt_s,v_input_mps,l_m,l_h_m,L_m,width_m,theta_ref_rad,theta_ref_deg,theta_rad,theta_deg,theta_t_rad,theta_t_deg,alpha_rad,alpha_deg,phi_rad,phi_deg,e_theta_rad,e_phi_rad,xA_m,yA_m,xB_m,yB_m,xH_m,yH_m,xT_m,yT_m
0.000000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.800000,-0.000000,-11.700000
0.020000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.060000,0.000000,0.060000,0.000000,1.860000,-0.000000,-11.640000
0.040000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.120000,0.000000,0.120000,0.000000,1.920000,-0.000000,-11.580000
0.060000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.180000,0.000000,0.180000,0.000000,1.980000,-0.000000,-11.520000
0.080000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.240000,0.000000,0.240000,0.000000,2.040000,-0.000000,-11.460000
0.100000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.300000,0.000000,0.300000,0.000000,2.100000,-0.000000,-11.400000
0.120000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.360000,0.000000,0.360000,0.000000,2.160000,-0.000000,-11.340000
0.140000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.420000,0.000000,0.420000,0.000000,2.220000,-0.000000,-11.280000
0.160000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.480000,0.000000,0.480000,0.000000,2.280000,-0.000000,-11.220000
0.180000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.540000,0.000000,0.540000,0.000000,2.340000,-0.000000,-11.160000
0.200000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.600000,0.000000,0.600000,0.000000,2.400000,-0.000000,-11.100000
0.220000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.660000,0.000000,0.660000,0.000000,2.460000,-0.000000,-11.040000
0.240000,0.020000,3.000000,4.000000,1.800000,13.500000,2.000000,1.570796,90.000000,1.570796,90.000000,1.570796,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.720000,0.000000,0.720000,0.000000,2.520000,-0.000000,-10.980000
